Short ID,Survival,Quantity,Height (cm),Open Closed,Location UML,Water Yes No,Sampling Group
L_C_01_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_02_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_02_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_02_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_02_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_03_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_03_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_04_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_04_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_05_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_05_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_06_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_07_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_08_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_08_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_09_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_09_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_09_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_09_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_09_5,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_10_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_11_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_11_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_11_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_12_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_12_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_13_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_14_4,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_15_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_16_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_17_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_17_4,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_18_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_20_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_21_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_22_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_22_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_23_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_23_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_23_4,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_24_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_25_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_25_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_25_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_26_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_27_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_28_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_31_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_32_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_33_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_33_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_33_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_33_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_34_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_34_4,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_36_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_36_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_36_4,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_37_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_37_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_38_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_38_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_39_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_40_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_41_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_42_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_42_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_42_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_42_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_43_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_43_4,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_44_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_45_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_46_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_46_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_46_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_46_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_47_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_47_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_47_3,FALSE,0,0,Closed,Lower,No,L_C
L_C_47_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_48_1,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_48_2,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_48_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_49_1,FALSE,0,0,Closed,Lower,No,L_C
L_C_49_2,FALSE,0,0,Closed,Lower,No,L_C
L_C_49_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_C_49_4,FALSE,0,0,Closed,Lower,No,L_C
L_C_50_3,FALSE,0,0,Closed,Lower,Yes,L_C
L_O_01_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_01_4,FALSE,0,0,Open,Lower,No,L_O
L_O_02_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_02_3,FALSE,0,0,Open,Lower,No,L_O
L_O_02_4,FALSE,0,0,Open,Lower,No,L_O
L_O_03_2,FALSE,0,0,Open,Lower,No,L_O
L_O_04_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_04_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_05_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_05_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_07_3,FALSE,0,0,Open,Lower,No,L_O
L_O_07_4,FALSE,0,0,Open,Lower,No,L_O
L_O_08_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_09_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_10_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_10_3,FALSE,0,0,Open,Lower,No,L_O
L_O_10_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_12_1,FALSE,0,0,Open,Lower,No,L_O
L_O_12_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_12_3,FALSE,0,0,Open,Lower,No,L_O
L_O_12_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_13_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_13_2,FALSE,0,0,Open,Lower,No,L_O
L_O_13_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_13_4,FALSE,0,0,Open,Lower,No,L_O
L_O_14_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_14_3,FALSE,0,0,Open,Lower,No,L_O
L_O_14_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_15_1,FALSE,0,0,Open,Lower,No,L_O
L_O_15_2,FALSE,0,0,Open,Lower,No,L_O
L_O_17_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_17_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_17_3,FALSE,0,0,Open,Lower,No,L_O
L_O_17_4,FALSE,0,0,Open,Lower,No,L_O
L_O_18_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_18_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_18_4,FALSE,0,0,Open,Lower,No,L_O
L_O_19_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_19_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_19_3,FALSE,0,0,Open,Lower,No,L_O
L_O_19_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_20_1,FALSE,0,0,Open,Lower,No,L_O
L_O_20_3,FALSE,0,0,Open,Lower,No,L_O
L_O_21_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_21_2,FALSE,0,0,Open,Lower,No,L_O
L_O_21_3,FALSE,0,0,Open,Lower,No,L_O
L_O_21_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_22_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_22_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_22_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_23_1,FALSE,0,0,Open,Lower,No,L_O
L_O_23_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_24_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_24_3,FALSE,0,0,Open,Lower,No,L_O
L_O_24_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_25_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_25_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_26_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_26_2,FALSE,0,0,Open,Lower,No,L_O
L_O_26_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_26_4,FALSE,0,0,Open,Lower,No,L_O
L_O_27_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_27_2,FALSE,0,0,Open,Lower,No,L_O
L_O_27_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_28_1,FALSE,0,0,Open,Lower,No,L_O
L_O_28_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_28_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_28_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_29_1,FALSE,0,0,Open,Lower,No,L_O
L_O_29_3,FALSE,0,0,Open,Lower,No,L_O
L_O_30_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_30_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_31_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_31_2,FALSE,0,0,Open,Lower,No,L_O
L_O_31_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_32_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_32_2,FALSE,0,0,Open,Lower,No,L_O
L_O_32_3,FALSE,0,0,Open,Lower,No,L_O
L_O_32_4,FALSE,0,0,Open,Lower,No,L_O
L_O_33_1,FALSE,0,0,Open,Lower,No,L_O
L_O_33_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_34_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_35_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_35_2,FALSE,0,0,Open,Lower,No,L_O
L_O_35_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_35_4,FALSE,0,0,Open,Lower,No,L_O
L_O_36_1,FALSE,0,0,Open,Lower,No,L_O
L_O_36_2,FALSE,0,0,Open,Lower,No,L_O
L_O_36_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_36_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_37_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_37_2,FALSE,0,0,Open,Lower,No,L_O
L_O_37_3,FALSE,0,0,Open,Lower,No,L_O
L_O_37_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_38_1,FALSE,0,0,Open,Lower,No,L_O
L_O_38_2,FALSE,0,0,Open,Lower,No,L_O
L_O_38_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_42_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_42_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_42_3,FALSE,0,0,Open,Lower,No,L_O
L_O_42_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_43_1,TRUE,2,0,Open,Lower,No,L_O
L_O_43_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_43_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_44_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_44_2,FALSE,0,0,Open,Lower,No,L_O
L_O_44_3,FALSE,0,0,Open,Lower,No,L_O
L_O_44_4,FALSE,0,0,Open,Lower,No,L_O
L_O_45_2,FALSE,0,0,Open,Lower,No,L_O
L_O_45_3,FALSE,0,0,Open,Lower,No,L_O
L_O_45_4,FALSE,0,0,Open,Lower,No,L_O
L_O_46_1,FALSE,0,0,Open,Lower,No,L_O
L_O_46_2,FALSE,0,0,Open,Lower,No,L_O
L_O_46_3,FALSE,0,0,Open,Lower,No,L_O
L_O_47_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_49_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_51_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_51_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_51_3,FALSE,0,0,Open,Lower,No,L_O
L_O_51_4,FALSE,0,0,Open,Lower,No,L_O
L_O_52_1,FALSE,0,0,Open,Lower,No,L_O
L_O_52_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_52_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_54_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_54_2,FALSE,0,0,Open,Lower,No,L_O
L_O_54_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_54_4,FALSE,0,0,Open,Lower,Yes,L_O
M_C_01_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_01_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_02_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_03_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_04_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_04_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_06_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_07_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_08_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_09_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_09_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_10_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_10_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_11_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_11_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_11_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_11_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_12_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_12_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_12_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_12_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_13_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_14_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_16_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_16_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_16_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_17_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_18_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_20_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_20_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_20_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_21_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_22_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_22_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_23_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_23_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_23_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_25_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_25_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_27_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_28_2,TRUE,0,0,Closed,Middle,Yes,M_C
M_C_28_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_28_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_29_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_29_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_31_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_33_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_33_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_33_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_35_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_36_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_38_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_38_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_39_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_39_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_40_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_40_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_43_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_44_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_44_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_46_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_47_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_47_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_48_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_49_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_49_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_50_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_50_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_51_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_51_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_4,FALSE,0,0,Closed,Middle,No,M_C
M_O_01_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_02_3,FALSE,0,0,Open,Middle,No,M_O
M_O_03_3,FALSE,0,0,Open,Middle,No,M_O
M_O_04_1,FALSE,0,0,Open,Middle,No,M_O
M_O_04_2,FALSE,0,0,Open,Middle,No,M_O
M_O_04_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_05_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_05_2,FALSE,0,0,Open,Middle,No,M_O
M_O_05_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_06_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_06_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_06_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_07_4,FALSE,0,0,Open,Middle,No,M_O
M_O_11_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_11_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_12_1,FALSE,0,0,Open,Middle,No,M_O
M_O_14_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_14_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_14_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_14_4,FALSE,0,0,Open,Middle,No,M_O
M_O_15_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_15_2,FALSE,0,0,Open,Middle,No,M_O
M_O_15_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_16_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_16_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_17_1,FALSE,0,0,Open,Middle,No,M_O
M_O_17_3,FALSE,0,0,Open,Middle,No,M_O
M_O_19_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_20_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_22_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_22_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_23_3,FALSE,0,0,Open,Middle,No,M_O
M_O_24_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_25_3,FALSE,0,0,Open,Middle,No,M_O
M_O_27_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_27_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_28_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_28_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_29_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_29_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_30_2,FALSE,0,0,Open,Middle,No,M_O
M_O_33_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_33_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_33_4,FALSE,0,0,Open,Middle,No,M_O
M_O_34_1,FALSE,0,0,Open,Middle,No,M_O
M_O_35_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_35_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_36_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_37_1,FALSE,0,0,Open,Middle,No,M_O
M_O_37_2,FALSE,0,0,Open,Middle,No,M_O
M_O_38_1,FALSE,0,0,Open,Middle,No,M_O
M_O_38_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_39_1,FALSE,0,0,Open,Middle,No,M_O
M_O_40_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_40_2,FALSE,0,0,Open,Middle,No,M_O
M_O_40_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_40_4,FALSE,0,0,Open,Middle,No,M_O
M_O_41_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_41_2,FALSE,0,0,Open,Middle,No,M_O
M_O_41_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_42_4,FALSE,0,0,Open,Middle,No,M_O
M_O_43_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_43_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_44_4,FALSE,0,0,Open,Middle,No,M_O
M_O_46_2,FALSE,0,0,Open,Middle,No,M_O
M_O_46_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_46_4,FALSE,0,0,Open,Middle,No,M_O
M_O_47_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_47_2,FALSE,0,0,Open,Middle,No,M_O
M_O_48_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_48_2,FALSE,0,0,Open,Middle,No,M_O
M_O_49_3,FALSE,0,0,Open,Middle,No,M_O
M_O_50_4,FALSE,0,0,Open,Middle,No,M_O
U_C_02_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_02_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_03_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_03_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_03_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_03_4,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_04_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_06_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_07_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_08_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_08_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_08_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_09_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_10_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_10_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_11_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_11_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_12_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_14_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_17_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_17_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_18_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_18_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_20_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_20_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_22_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_23_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_24_4,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_26_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_29_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_29_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_30_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_31_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_31_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_31_4,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_32_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_32_2,FALSE,0,0,Closed,Upper,No,U_C
